,prune_name,rgft_name,time,ll,orig_ds_ll,d_ll_rgft,edge_length,longest_branch,tbl_pruned,longest_pruned,tbl_remaining,longest_remaining,topology_dist_between,tbl_dist_between,res_tree_edge_length
6,0,N7,N1,0.093,-1754.091894,-1751.80239,-2.28950399999985165778,0.0101008,0.160491,0.09761436999999995,0.160491,0.16244838,0.160491,3.0,0.00518105,1.5e-07
6,1,N7,Sp020,0.094,-1761.476665,-1751.80239,-9.67427499999985229806,0.160491,0.160491,0.16049099999999997,0.160491,0.09957174999999999,0.043399,5.0,0.17577284999999995,1.5e-07
6,2,N7,Sp015,0.092,-1761.476668,-1751.80239,-9.67427799999995841063,0.00195738,0.160491,0.001957379999999953,0.00195738,0.25810537,0.160491,5.0,0.017239229999999998,1.5e-07
6,3,N7,N5,0.093,-1754.091984,-1751.80239,-2.28959399999985180330,0.00862562,0.160491,0.015509029999999951,0.160491,0.24455372,0.160491,4.0,0.013806670000000002,1.5e-07
6,4,N7,N6,0.092,-1751.813574,-1751.80239,-0.01118399999995745020,0.00334179,0.160491,0.24656762999999995,0.043399,0.01349512,0.00844103,3.0,0.00345807,1.5e-07
6,5,N7,N8,0.103,-1773.710217,-1751.80239,-21.90782699999999749707,1.5e-07,0.160491,0.003143359999999984,0.160491,0.25691938999999997,0.160491,5.0,0.01380682,1.5e-07
6,6,N7,Sp009,0.119,-1773.710403,-1751.80239,-21.90801299999998263957,0.00374005,0.160491,0.0037400499999999393,0.00374005,0.2563227,0.160491,5.0,0.01754672,1.5e-07
6,7,N7,N10,0.096,-1758.769021,-1751.80239,-6.96663100000000667933,5.4e-07,0.160491,0.21501918999999994,0.043399,0.04504356,0.043399,4.0,0.0034582700000000003,1.5e-07
6,8,N7,N11,0.095,-1758.767603,-1751.80239,-6.96521299999994880636,0.00844103,0.160491,0.26006274999999995,0.00844103,0.0,0.0,4.0,0.0067998600000000005,1.5e-07
6,9,N7,N14,0.100,-1796.334005,-1751.80239,-44.53161499999987427145,9e-08,0.160491,0.0031429099999999988,0.160491,0.25691983999999995,0.160491,6.0,0.01380691,1.5e-07
6,10,N7,N15,0.096,-1796.334005,-1751.80239,-44.53161499999987427145,1e-08,0.160491,0.26006274999999995,1.1e-07,0.0,0.0,6.0,0.01380689,1.5e-07
