,prune_name,rgft_name,time,ll,orig_ds_ll,d_ll_prune,edge_length,longest_branch,tbl_pruned,longest_pruned,tbl_remaining,longest_remaining
6,18,N7,Sp005,0.094,-1796.333927,-1751.80239,-44.53153699999984382885,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,19,N7,N26,0.098,-1761.837608,-1751.80239,-10.03521799999998620478,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,20,N7,Sp008,0.095,-1761.837608,-1751.80239,-10.03521799999998620478,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,21,N7,N28,0.099,-1761.837976,-1751.80239,-10.03558599999996658880,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,22,N7,Sp002,0.096,-1761.837917,-1751.80239,-10.03552700000000186265,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,23,N7,Sp019,0.095,-1786.719343,-1751.80239,-34.91695299999992130324,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,24,N7,Sp016,0.102,-1786.719343,-1751.80239,-34.91695299999992130324,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,25,N7,Sp010,0.094,-1796.333848,-1751.80239,-44.53145799999992959783,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,26,N7,Sp003,0.094,-1796.333849,-1751.80239,-44.53145900000004075991,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,27,N7,Sp007,0.093,-1761.837542,-1751.80239,-10.03515199999992546509,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,28,N7,Sp006,0.089,-1761.83754,-1751.80239,-10.03514999999993051460,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,29,N7,N36,0.092,-1761.838328,-1751.80239,-10.03593799999998736894,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,30,N7,Sp000,0.091,-1761.838264,-1751.80239,-10.03587399999992157973,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,31,N7,Sp012,0.093,-1761.838592,-1751.80239,-10.03620200000000295404,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,32,N7,Sp001,0.103,-1761.838622,-1751.80239,-10.03623199999992721132,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
7,0,N8,N1,0.096,-1761.759197,-1751.80239,-9.95680700000002616434,7e-08,0.160491,0.2797074,0.00314281,2.3000000000000002e-07,1.1e-07
